VendorID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,duration,is_weekend
2,2,2.96,1,N,255,146,1,11,0.5,0.5,2.46,0,0.3,14.76,10.75,0
1,1,0.6,1,N,164,170,1,5,0,0.5,0.87,0,0.3,6.67,4.4,0
1,1,2.2,1,N,236,239,1,10,0,0.5,1.08,0,0.3,11.88,10.283333333333333,0
2,1,2.54,1,N,161,68,1,10,0.5,0.5,3,0,0.3,14.3,10.133333333333333,0
1,1,4,1,N,262,68,1,15.5,0,0.5,2,0,0.3,18.3,18.283333333333335,0
2,1,1.37,1,N,161,234,1,6.5,0.5,0.5,1.95,0,0.3,9.75,5.933333333333334,0
2,6,1.64,1,N,164,90,1,8,0.5,0.5,1.86,0,0.3,11.16,8.85,0
2,1,1.34,1,N,230,163,1,9.5,0,0.5,2.06,0,0.3,12.36,13.15,0
2,6,3.01,1,N,170,232,1,11,0.5,0.5,2.46,0,0.3,14.76,9.55,0
2,1,2.39,1,N,246,161,1,16,0,0.5,4.2,0,0.3,21,25.433333333333334,0
1,1,3.3,1,N,50,151,1,11.5,0,0.5,3.65,0,0.3,15.95,8.583333333333334,1
2,1,1.98,1,N,236,162,1,13,0,0.5,2.76,0,0.3,16.56,19.8,0
1,1,8.5,1,N,138,68,1,26,0.5,0.5,6.94,5.76,0.3,40,22.283333333333335,0
2,1,1.68,1,N,151,75,1,9.5,0,0.5,2.06,0,0.3,12.36,11.333333333333334,0
1,1,2.8,1,N,239,162,1,20.5,0,0.5,4.25,0,0.3,25.55,32.86666666666667,0
1,1,0.8,1,N,162,229,1,6.5,0,0.5,2,0,0.3,9.3,7.65,0
2,1,3.08,1,N,48,79,1,17.5,0.5,0.5,3.76,0,0.3,22.56,25.066666666666666,0
2,4,2.62,1,N,162,90,1,13,0.5,0.5,2.86,0,0.3,17.16,17.95,1
2,1,2.57,1,N,234,231,1,13,0,0.5,4.14,0,0.3,17.94,18.283333333333335,0
2,1,2.99,1,N,107,145,1,16.5,0,0.5,4.61,5.76,0.3,27.67,25.1,1
2,6,10.02,1,N,211,138,1,33.5,0,0.5,4.7,0,0.3,39,41.766666666666666,0
1,1,1.4,1,N,142,239,1,8,0,0.5,1.75,0,0.3,10.55,9.116666666666667,0
1,1,1.2,1,N,186,50,1,9.5,0,0.5,2.05,0,0.3,12.35,13.45,0
1,2,1.3,1,N,163,237,1,7.5,0,0.5,1.65,0,0.3,9.95,8.15,1
1,3,18,2,N,132,48,1,52,0,0.5,7,5.76,0.3,65.56,63.03333333333333,0
1,1,3.6,1,N,50,231,1,15,0,0.5,2.37,0,0.3,18.17,19.35,1
2,1,4.2,1,N,161,87,1,18.5,0,0.5,3.86,0,0.3,23.16,25.816666666666666,0
2,1,1.59,1,N,107,163,1,9.5,0.5,0.5,2.16,0,0.3,12.96,12.1,0
2,1,0.93,1,N,249,79,1,8.5,0,0.5,1.86,0,0.3,11.16,11.533333333333333,1
2,2,1.59,1,N,246,170,1,11,0,0.5,2.36,0,0.3,14.16,15.883333333333333,0
2,2,2.89,1,N,43,186,1,13,0,0.5,2.76,0,0.3,16.56,16.933333333333334,1
2,1,9.56,1,N,138,17,1,27.5,0.5,0.5,5.76,0,0.3,34.56,20.533333333333335,1
2,1,1.41,1,N,100,137,1,7.5,0,0.5,1.66,0,0.3,9.96,8.3,1
1,1,1.3,1,N,237,170,1,9.5,0.5,0.5,2.15,0,0.3,12.95,13.25,0
1,1,0.8,1,N,237,161,1,5,0,0.5,1.15,0,0.3,6.95,4.216666666666667,0
1,2,1.9,1,N,142,161,1,13,0.5,0.5,3,0,0.3,17.3,20.333333333333332,0
1,4,18.2,3,N,161,1,1,68,0,0,22.2,20.5,0.3,111,33.61666666666667,1
2,6,0.9,1,N,237,162,1,6.5,0,0.5,1.46,0,0.3,8.76,6.416666666666667,0
2,1,4.99,1,N,234,146,1,18,0.5,0.5,3.86,0,0.3,23.16,20.166666666666668,1
1,1,8.7,1,N,138,236,1,26.5,0.5,0.5,6.7,5.76,0.3,40.26,19.95,1
1,1,3.1,1,N,100,231,1,12.5,0.5,0.5,3.45,0,0.3,17.25,14.95,0
1,1,0.8,1,Y,141,236,1,5,0.5,0.5,1,0,0.3,7.3,3.45,0
2,6,0.79,1,N,231,144,1,6.5,0,0.5,1.82,0,0.3,9.12,7.916666666666667,0
1,1,5.6,1,N,88,257,1,19.5,0.5,0.5,6.6,5.76,0.3,33.16,21.516666666666666,0
2,1,0.7,1,N,158,113,1,5,0,0.5,0.58,0,0.3,6.38,5.283333333333333,1
1,2,0.5,1,N,164,234,1,4,0,0.5,0.72,0,0.3,5.52,2.466666666666667,0
1,1,2.6,1,Y,232,233,1,14,0.5,0.5,3.05,0,0.3,18.35,19.9,1
2,5,1.36,1,N,48,68,1,6.5,0,0.5,1,0,0.3,8.3,6.2,0
1,1,2.3,1,N,75,142,1,9.5,0,0.5,1.5,0,0.3,11.8,9.766666666666667,0
2,3,1.1,1,N,238,239,1,6.5,0,0.5,1.46,0,0.3,8.76,5.75,1
2,2,8.84,1,N,132,196,1,29,0,0.5,3,0,0.3,32.8,27.383333333333333,1
1,2,1.5,1,N,164,163,1,8,0.5,0.5,1.85,0,0.3,11.15,9.033333333333333,1
2,1,15.15,1,N,138,87,1,43.5,0,0.5,10.01,5.76,0.3,60.07,35.88333333333333,0
2,2,1.08,1,N,230,233,1,9.5,0,0.5,2,0,0.3,12.3,13.5,0
2,1,2.24,1,N,234,163,1,14.5,0,0.5,3.06,0,0.3,18.36,23.55,0
2,1,3.32,1,N,186,114,1,17,0,0.5,3,0,0.3,20.8,23.333333333333332,1
2,1,0.45,1,N,263,262,1,3.5,0,0.5,0.86,0,0.3,5.16,1.85,1
1,1,2.1,1,N,137,140,1,9.5,0,0.5,1.5,0,0.3,11.8,11.5,0
1,1,0.7,1,N,237,161,1,5.5,0,0.5,1.25,0,0.3,7.55,5.4,0
2,1,0.5,1,N,100,48,1,4.5,0,0.5,1.32,0,0.3,6.62,4.116666666666666,0
2,2,1.85,1,N,137,246,1,9.5,0,0.5,2.06,0,0.3,12.36,12.116666666666667,0
2,1,2.52,1,N,166,142,1,13.5,0,0.5,3.58,0,0.3,17.88,17.683333333333334,0
2,6,1.83,1,N,140,236,1,13,0,0.5,2.76,0,0.3,16.56,20.533333333333335,0
2,1,3.07,1,N,236,48,1,18.5,0,0.5,2.9,0,0.3,22.2,1436.4333333333334,0
